年	州	州略号	州FIPSコード	州CENコード	州ICコード	役職	候補者	政党	主要政党	書き込み投票	候補者得票数	総投票数	バージョン
1984	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	890877	1466900	20171015
1988	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	750241	1443394	20171015
1992	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	578313	1616156	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	483109	1392614	20171015
2000	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	561094	1459525	20171015
2004	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	693826	1578769	20171015
2008	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	629428	1646792	20171015
2012	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	634892	1558204	20171015
2016	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	673215	1644920	20171015
1976	コネチカット	CT	9	16	1	アメリカ合衆国大統領	分散票		その他	FALSE	10309	1386355	20171015
1976	コネチカット	CT	9	16	1	アメリカ合衆国大統領	レスター・マドックス	アメリカ独立党	その他	FALSE	7101	1386355	20171015
1976	コネチカット	CT	9	16	1	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	米国労働党	その他	FALSE	1789	1386355	20171015
1980	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョン・B・アンダーソン	アンダーソン連合	その他	FALSE	171807	1406285	20171015
1980	コネチカット	CT	9	16	1	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	8570	1406285	20171015
1980	コネチカット	CT	9	16	1	アメリカ合衆国大統領	バリー・コモナー	市民党	その他	FALSE	6130	1406285	20171015
1980	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	836	1406285	20171015
1984	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	4826	1466900	20171015
1984	コネチカット	CT	9	16	1	アメリカ合衆国大統領	デニス・セレット	アライアンス党	その他	FALSE	1374	1466900	20171015
1984	コネチカット	CT	9	16	1	アメリカ合衆国大統領	その他		その他	FALSE	226	1466900	20171015
1988	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	14071	1443394	20171015
1988	コネチカット	CT	9	16	1	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	2491	1443394	20171015
1988	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	7	1443394	20171015
1992	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	348771	1616156	20171015
1992	コネチカット	CT	9	16	1	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	5391	1616156	20171015
1992	コネチカット	CT	9	16	1	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	1363	1616156	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ロス・ペロー	改革党	その他	FALSE	139523	1392614	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	24321	1392614	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	5788	1392614	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ハワード・フィリップス	憂慮する市民党	その他	FALSE	2425	1392614	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	1703	1392614	20171015
1996	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	5	1392614	20171015
2000	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	64452	1459525	20171015
2000	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ハワード・フィリップス	憂慮する市民党	その他	FALSE	9695	1459525	20171015
2000	コネチカット	CT	9	16	1	アメリカ合衆国大統領	パトリック・“パット”・ブキャナン	改革党	その他	FALSE	4731	1459525	20171015
2000	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	3484	1459525	20171015
2000	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	54	1459525	20171015
2004	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ラルフ・ネーダー	請願候補	その他	FALSE	12969	1578769	20171015
2004	コネチカット	CT	9	16	1	アメリカ合衆国大統領	デイヴィッド・コブ	緑の党	その他	FALSE	9564	1578769	20171015
2004	コネチカット	CT	9	16	1	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	3367	1578769	20171015
2004	コネチカット	CT	9	16	1	アメリカ合衆国大統領	マイケル・ペルートカ	憂慮する市民党	その他	FALSE	1543	1578769	20171015
2004	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ロジャー・カレロ	社会主義労働者党	その他	TRUE	12	1578769	20171015
2008	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	19162	1646792	20171015
2008	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	430	1646792	20171015
2012	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	12340	1558204	20171015
2012	コネチカット	CT	9	16	1	アメリカ合衆国大統領		無所属	その他	FALSE	4971	1558204	20171015
2012	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	918	1558204	20171015
2016	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	48676	1644920	20171015
2016	コネチカット	CT	9	16	1	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	22841	1644920	20171015
2016	コネチカット	CT	9	16	1	アメリカ合衆国大統領			その他	TRUE	2616	1644920	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	122461	235642	20171015
1980	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	105754	235668	20171015
1984	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	101656	254572	20171015
1988	デラウェア	DE	10	51	11	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	108647	249891	20171015
1992	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	126054	289620	20171015
1996	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	140355	270810	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	180068	327529	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	200152	375190	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	255459	412412	20171015
2012	デラウェア	DE	10	51	11	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	242584	413890	20171015
2016	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	235603	441590	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	109780	235642	20171015
1980	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	111252	235668	20171015
1984	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	152190	254572	20171015
1988	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	139639	249891	20171015
1992	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	102313	289620	20171015
1996	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	99062	270810	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	137288	327529	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	171660	375190	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	152374	412412	20171015
2012	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	165484	413890	20171015
2016	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	185127	441590	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領		無所属	その他	FALSE	2432	235642	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領	トーマス・J・アンダーソン	アメリカ党	その他	FALSE	645	235642	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	米国労働党	その他	FALSE	135	235642	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ベンジャミン・“ベン”・ビュバー	禁酒党	その他	FALSE	103	235642	20171015
1976	デラウェア	DE	10	51	11	アメリカ合衆国大統領		社会主義労働党	その他	FALSE	86	235642	20171015
1980	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	16288	235668	20171015
1980	デラウェア	DE	10	51	11	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	1974	235668	20171015
1980	デラウェア	DE	10	51	11	アメリカ合衆国大統領	パーシー・L・グリーヴス・Jr	アメリカ党	その他	FALSE	400	235668	20171015
1984	デラウェア	DE	10	51	11	アメリカ合衆国大統領	デルマー・デニス	アメリカ党	その他	FALSE	269	254572	20171015
1984	デラウェア	DE	10	51	11	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	268	254572	20171015
1984	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ソニア・ジョンソン	市民党	その他	FALSE	121	254572	20171015
1984	デラウェア	DE	10	51	11	アメリカ合衆国大統領	デニス・セレット	アライアンス党	その他	FALSE	68	254572	20171015
1988	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	1162	249891	20171015
1988	デラウェア	DE	10	51	11	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	443	249891	20171015
1992	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	59213	289620	20171015
1992	デラウェア	DE	10	51	11	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	1105	289620	20171015
1992	デラウェア	DE	10	51	11	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	935	289620	20171015
1996	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	28719	270810	20171015
1996	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	2052	270810	20171015
1996	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ハワード・フィリップス	米国納税者党	その他	FALSE	348	270810	20171015
1996	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	274	270810	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	8307	327529	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	パトリック・“パット”・ブキャナン	改革党	その他	FALSE	777	327529	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	774	327529	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ハワード・フィリップス	憲法党	その他	FALSE	208	327529	20171015
2000	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	107	327529	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	2153	375190	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	586	375190	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	マイケル・ペルートカ	憲法党	その他	FALSE	289	375190	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	デイヴィッド・コブ	緑の党	その他	FALSE	250	375190	20171015
2004	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ウォルト・ブラウン	自然法党	その他	FALSE	100	375190	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	2401	412412	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ボブ・バー	リバタリアン党	その他	FALSE	1109	412412	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	チャールズ・“チャック”・ボールドウィン	憲法党	その他	FALSE	626	412412	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	シンシア・マッキニー	緑の党	その他	FALSE	385	412412	20171015
2008	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ロジャー・カレロ	社会主義労働者党	その他	FALSE	58	412412	20171015
2012	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	3882	413890	20171015
2012	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	1940	413890	20171015
2016	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	14757	441590	20171015
2016	デラウェア	DE	10	51	11	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	6103	441590	20171015
1976	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	137818	168830	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	130231	173889	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	180408	211288	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	159407	192877	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	192619	227572	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	158220	185726	20171015
2000	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	171923	201894	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	202970	227586	20171015
2008	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	245800	265853	20171015
2012	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	267070	293764	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	282830	312575	20171015
1976	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	27873	168830	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	23313	173889	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	29009	211288	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	27590	192877	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	20698	227572	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	17339	185726	20171015
2000	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	18073	201894	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	21256	227586	20171015
2008	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	17367	265853	20171015
2012	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	21381	293764	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ドナルド・J・トランプ	共和党	共和党	FALSE	12723	312575	20171015
1976	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	その他		その他	FALSE	1656	168830	20171015
1976	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領		無所属	その他	FALSE	1195	168830	20171015
1976	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	288	168830	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョン・B・アンダーソン	無所属	その他	FALSE	16131	173889	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	バリー・コモナー	市民党	その他	FALSE	1826	173889	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	エドワード・“エド”・クラーク	リバタリアン党	その他	FALSE	1104	173889	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	690	173889	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	369	173889	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	クリフトン・デベリー	社会主義労働者党	その他	FALSE	173	173889	20171015
1980	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ディアドラ・グリスウォルド	労働者世界党	その他	FALSE	52	173889	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	その他		その他	FALSE	809	211288	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	デイヴィッド・バーグランド	リバタリアン党	その他	FALSE	279	211288	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ガス・ホール	共産党	その他	FALSE	257	211288	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	デニス・セレット	アライアンス党	その他	FALSE	165	211288	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	リンドン・ラルーシュ・Jr	無所属	その他	FALSE	127	211288	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	メルヴィン・メイソン	社会主義労働者党	その他	FALSE	127	211288	20171015
1984	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ラリー・ホームズ	労働者世界党	その他	FALSE	107	211288	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領		無所属	その他	FALSE	3064	192877	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	1553	192877	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロナルド・“ロン”・ポール	リバタリアン党	その他	FALSE	554	192877	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領		第三世界会議	その他	FALSE	236	192877	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	エドワード・ウィン	労働者同盟	その他	FALSE	208	192877	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ウィラ・ケノイヤー	社会党	その他	FALSE	142	192877	20171015
1988	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジェームズ・“マック”・ウォーレン	社会主義労働者党	その他	FALSE	123	192877	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロス・ペロー	無所属	その他	FALSE	9681	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	レノーラ・フラーニ	新連合党	その他	FALSE	1459	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロナルド・ダニエルズ	無所属	その他	FALSE	1446	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	676	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	アンドレ・マルー	リバタリアン党	その他	FALSE	467	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	230	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	その他	社会党	その他	FALSE	191	227572	20171015
1992	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	その他	社会主義労働者党	その他	FALSE	105	227572	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	4780	185726	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロス・ペロー	改革党	その他	FALSE	3611	185726	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	648	185726	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	588	185726	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジョン・ハゲリン	自然法党	その他	FALSE	283	185726	20171015
1996	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジェームズ・ハリス	社会主義労働者党	その他	FALSE	257	185726	20171015
2000	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ラルフ・ネーダー	緑の党	その他	FALSE	10576	201894	20171015
2000	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ハリー・ブラウン	リバタリアン党	その他	FALSE	669	201894	20171015
2000	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	539	201894	20171015
2000	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジェームズ・ハリス	社会主義労働者党	その他	FALSE	114	201894	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	1485	227586	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	デイヴィッド・コブ	D.C.州昇格緑の党	その他	FALSE	737	227586	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	その他		その他	TRUE	506	227586	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	マイケル・バドナリック	リバタリアン党	その他	FALSE	502	227586	20171015
2004	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ロジャー・カレロ	社会主義労働者党	その他	FALSE	130	227586	20171015
2008	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	1138	265853	20171015
2008	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ラルフ・ネーダー	無所属	その他	FALSE	958	265853	20171015
2008	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	シンシア・マッキニー	緑の党	その他	FALSE	590	265853	20171015
2012	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジル・スタイン	D.C.州昇格緑の党	その他	FALSE	2458	293764	20171015
2012	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	2083	293764	20171015
2012	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	772	293764	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領			その他	TRUE	6551	312575	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ゲイリー・ジョンソン	リバタリアン党	その他	FALSE	4906	312575	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	ジル・スタイン	緑の党	その他	FALSE	4258	312575	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	白票		その他	FALSE	1064	312575	20171015
2016	コロンビア特別区	DC	11	53	55	アメリカ合衆国大統領	過剰投票		その他	FALSE	243	312575	20171015
1976	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	1636000	3150631	20171015
1980	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジミー・カーター	民主党	民主党	FALSE	1419475	3686927	20171015
1984	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ウォルター・モンデール	民主党	民主党	FALSE	1448816	4180051	20171015
1988	フロリダ	FL	12	59	43	アメリカ合衆国大統領	マイケル・デュカキス	民主党	民主党	FALSE	1656701	4302313	20171015
1992	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	2071698	5313392	20171015
1996	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ビル・クリントン	民主党	民主党	FALSE	2546870	5303154	20171015
2000	フロリダ	FL	12	59	43	アメリカ合衆国大統領	アル・ゴア	民主党	民主党	FALSE	2912253	5963110	20171015
2004	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジョン・ケリー	民主党	民主党	FALSE	3583544	7609810	20171015
2008	フロリダ	FL	12	59	43	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	4282074	8390744	20171015
2012	フロリダ	FL	12	59	43	アメリカ合衆国大統領	バラク・H・オバマ	民主党	民主党	FALSE	4237756	8474179	20171015
2016	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ヒラリー・クリントン	民主党	民主党	FALSE	4504975	9420039	20171015
1976	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジェラルド・フォード	共和党	共和党	FALSE	1469531	3150631	20171015
1980	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	2046951	3686927	20171015
1984	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ロナルド・レーガン	共和党	共和党	FALSE	2730350	4180051	20171015
1988	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	2618885	4302313	20171015
1992	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジョージ・H・W・ブッシュ	共和党	共和党	FALSE	2173310	5313392	20171015
1996	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ロバート・ドール	共和党	共和党	FALSE	2244536	5303154	20171015
2000	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	2912790	5963110	20171015
2004	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジョージ・W・ブッシュ	共和党	共和党	FALSE	3964522	7609810	20171015
2008	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ジョン・マケイン	共和党	共和党	FALSE	4045624	8390744	20171015
2012	フロリダ	FL	12	59	43	アメリカ合衆国大統領	ミット・ロムニー	共和党	共和党	FALSE	4163447	8474179	20171015
