年	州	州略号	政党（簡略）	政党（詳細）	得票数	得票率（%）
1984	ニューハンプシャー	NH	その他	無所属	467	0.12
1984	ニューハンプシャー	NH	その他	アライアンス党	305	0.08
1984	ニュージャージー	NJ	共和党	共和党	1933630	60.09
1984	ニュージャージー	NJ	民主党	民主党	1261323	39.20
1984	ニュージャージー	NJ	その他	労働者世界党	8404	0.26
1984	ニュージャージー	NJ	リバタリアン党	リバタリアン党	6416	0.20
1984	ニュージャージー	NJ	その他	アライアンス党	2293	0.07
1984	ニュージャージー	NJ	その他	労働者同盟	1721	0.05
1984	ニュージャージー	NJ	その他	共産党	1564	0.05
1984	ニュージャージー	NJ	その他	社会主義労働者党	1264	0.04
1984	ニュージャージー	NJ	その他	市民党	1247	0.04
1984	ニューメキシコ	NM	共和党	共和党	307101	59.70
1984	ニューメキシコ	NM	民主党	民主党	201769	39.23
1984	ニューメキシコ	NM	リバタリアン党	リバタリアン党	4459	0.87
1984	ニューメキシコ	NM	その他	市民党	455	0.09
1984	ニューメキシコ	NM	その他	社会主義労働者党	224	0.04
1984	ニューメキシコ	NM	その他	禁酒党	206	0.04
1984	ニューメキシコ	NM	その他	アライアンス党	155	0.03
1984	ニューメキシコ	NM	その他		1	0.00
1984	ニューヨーク	NY	共和党	共和党	3376519	49.61
1984	ニューヨーク	NY	民主党	民主党	3001285	44.09
1984	ニューヨーク	NY	その他	保守党	288244	4.23
1984	ニューヨーク	NY	その他	自由党（リベラル）	118324	1.74
1984	ニューヨーク	NY	リバタリアン党	リバタリアン党	11949	0.18
1984	ニューヨーク	NY	その他	共産党	4226	0.06
1984	ニューヨーク	NY	その他	アライアンス党	3200	0.05
1984	ニューヨーク	NY	その他	労働者世界党	2226	0.03
1984	ニューヨーク	NY	その他		837	0.01
1984	ノースカロライナ	NC	共和党	共和党	1346481	61.90
1984	ノースカロライナ	NC	民主党	民主党	824287	37.89
1984	ノースカロライナ	NC	リバタリアン党	リバタリアン党	3794	0.17
1984	ノースカロライナ	NC	その他	社会主義労働者党	799	0.04
1984	ノースダコタ	ND	共和党	共和党	200336	64.84
1984	ノースダコタ	ND	民主党	民主党	104429	33.80
1984	ノースダコタ	ND	その他	無所属	1278	0.41
1984	ノースダコタ	ND	その他	ポピュリスト党	1077	0.35
1984	ノースダコタ	ND	リバタリアン党	リバタリアン党	703	0.23
1984	ノースダコタ	ND	その他	市民党	368	0.12
1984	ノースダコタ	ND	その他	社会主義労働者党	239	0.08
1984	ノースダコタ	ND	その他	禁酒党	220	0.07
1984	ノースダコタ	ND	その他	共産党	169	0.05
1984	ノースダコタ	ND	その他	アライアンス党	152	0.05
1984	オハイオ	OH	共和党	共和党	2678559	58.70
1984	オハイオ	OH	民主党	民主党	1825440	40.00
1984	オハイオ	OH	その他	アライアンス党	24180	0.53
1984	オハイオ	OH	その他	無所属	10693	0.23
1984	オハイオ	OH	その他	労働者同盟	7130	0.16
1984	オハイオ	OH	リバタリアン党	リバタリアン党	5886	0.13
1984	オハイオ	OH	その他	共産党	4438	0.10
1984	オハイオ	OH	その他	社会主義労働者党	4344	0.10
1984	オハイオ	OH	その他	労働者世界党	2565	0.06
1984	オクラホマ	OK	共和党	共和党	861530	68.61
1984	オクラホマ	OK	民主党	民主党	385080	30.67
1984	オクラホマ	OK	リバタリアン党	リバタリアン党	9066	0.72
1984	オレゴン	OR	共和党	共和党	685700	55.91
1984	オレゴン	OR	民主党	民主党	536479	43.74
1984	オレゴン	OR	その他		4348	0.35
1984	ペンシルベニア	PA	共和党	共和党	2584323	53.34
1984	ペンシルベニア	PA	民主党	民主党	2228131	45.99
1984	ペンシルベニア	PA	その他	市民党	21628	0.45
1984	ペンシルベニア	PA	リバタリアン党	リバタリアン党	6982	0.14
1984	ペンシルベニア	PA	その他	労働者同盟	2059	0.04
1984	ペンシルベニア	PA	その他	共産党	1780	0.04
1984	ロードアイランド	RI	共和党	共和党	212080	51.67
1984	ロードアイランド	RI	民主党	民主党	197106	48.02
1984	ロードアイランド	RI	その他	ポピュリスト党	510	0.12
1984	ロードアイランド	RI	リバタリアン党	リバタリアン党	277	0.07
1984	ロードアイランド	RI	その他	市民党	240	0.06
1984	ロードアイランド	RI	その他	労働者世界党	91	0.02
1984	ロードアイランド	RI	その他	共産党	75	0.02
1984	ロードアイランド	RI	その他	社会主義労働者党	61	0.01
1984	ロードアイランド	RI	その他	アライアンス党	49	0.01
1984	サウスカロライナ	SC	共和党	共和党	615539	63.55
1984	サウスカロライナ	SC	民主党	民主党	344459	35.57
1984	サウスカロライナ	SC	リバタリアン党	リバタリアン党	4359	0.45
1984	サウスカロライナ	SC	その他	アメリカ党	3490	0.36
1984	サウスカロライナ	SC	その他	アライアンス党	682	0.07
1984	サウスダコタ	SD	共和党	共和党	200267	63.00
1984	サウスダコタ	SD	民主党	民主党	116113	36.53
1984	サウスダコタ	SD	その他	アライアンス党	1150	0.36
1984	サウスダコタ	SD	その他	社会主義労働者党	337	0.11
1984	テネシー	TN	共和党	共和党	990212	57.84
1984	テネシー	TN	民主党	民主党	711714	41.57
1984	テネシー	TN	リバタリアン党	リバタリアン党	3072	0.18
1984	テネシー	TN	その他	無所属	1852	0.11
1984	テネシー	TN	その他	ポピュリスト党	1763	0.10
1984	テネシー	TN	その他	共産党	1036	0.06
1984	テネシー	TN	その他	市民党	978	0.06
1984	テネシー	TN	その他	社会主義労働者党	715	0.04
1984	テネシー	TN	その他	アライアンス党	524	0.03
1984	テネシー	TN	その他		127	0.01
1984	テキサス	TX	共和党	共和党	3433428	63.61
1984	テキサス	TX	民主党	民主党	1949276	36.11
1984	テキサス	TX	その他	無所属	14613	0.27
1984	テキサス	TX	その他		254	0.00
1984	ユタ	UT	共和党	共和党	469105	74.50
1984	ユタ	UT	民主党	民主党	155369	24.68
1984	ユタ	UT	リバタリアン党	リバタリアン党	2447	0.39
1984	ユタ	UT	その他	アメリカ党	1345	0.21
1984	ユタ	UT	その他	市民党	844	0.13
1984	ユタ	UT	その他	アライアンス党	220	0.03
1984	ユタ	UT	その他	共産党	184	0.03
1984	ユタ	UT	その他	社会主義労働者党	142	0.02
1984	バーモント	VT	共和党	共和党	135865	57.92
1984	バーモント	VT	民主党	民主党	95730	40.81
1984	バーモント	VT	リバタリアン党	リバタリアン党	1002	0.43
1984	バーモント	VT	その他		712	0.30
1984	バーモント	VT	その他	無所属	423	0.18
1984	バーモント	VT	その他	アライアンス党	323	0.14
1984	バーモント	VT	その他	市民党	264	0.11
1984	バーモント	VT	その他	社会主義労働者党	127	0.05
1984	バーモント	VT	その他	共産党	115	0.05
1984	バージニア	VA	共和党	共和党	1337078	62.29
1984	バージニア	VA	民主党	民主党	796250	37.09
1984	バージニア	VA	その他	無所属	13307	0.62
1984	ワシントン	WA	共和党	共和党	1051670	56.09
1984	ワシントン	WA	民主党	民主党	798352	42.58
1984	ワシントン	WA	リバタリアン党	リバタリアン党	8844	0.47
1984	ワシントン	WA	その他	ポピュリスト党	5724	0.31
1984	ワシントン	WA	その他	無所属	4712	0.25
1984	ワシントン	WA	その他	市民党	1891	0.10
1984	ワシントン	WA	その他	アライアンス党	1654	0.09
1984	ワシントン	WA	その他	共産党	814	0.04
1984	ワシントン	WA	その他	労働者世界党	641	0.03
1984	ワシントン	WA	その他	社会主義労働者党	608	0.03
1984	ウェストバージニア	WV	共和党	共和党	405483	55.11
1984	ウェストバージニア	WV	民主党	民主党	328125	44.60
1984	ウェストバージニア	WV	その他	ポピュリスト党	996	0.14
1984	ウェストバージニア	WV	その他	社会主義労働者党	645	0.09
1984	ウェストバージニア	WV	その他	アライアンス党	493	0.07
1984	ウィスコンシン	WI	共和党	共和党	1198584	54.19
1984	ウィスコンシン	WI	民主党	民主党	995740	45.02
1984	ウィスコンシン	WI	リバタリアン党	リバタリアン党	4883	0.22
1984	ウィスコンシン	WI	その他	ポピュリスト党	3864	0.17
1984	ウィスコンシン	WI	その他	無所属	3791	0.17
1984	ウィスコンシン	WI	その他	市民党	1456	0.07
1984	ウィスコンシン	WI	その他	アライアンス党	1006	0.05
1984	ウィスコンシン	WI	その他		706	0.03
1984	ウィスコンシン	WI	その他	労働者世界党	619	0.03
1984	ウィスコンシン	WI	その他	共産党	596	0.03
1984	ウィスコンシン	WI	その他	社会主義労働者党	444	0.02
1984	ワイオミング	WY	共和党	共和党	133241	70.51
1984	ワイオミング	WY	民主党	民主党	53370	28.24
1984	ワイオミング	WY	リバタリアン党	リバタリアン党	2357	1.25
1988	アラバマ	AL	共和党	共和党	815576	59.17
1988	アラバマ	AL	民主党	民主党	549506	39.86
1988	アラバマ	AL	リバタリアン党	リバタリアン党	8460	0.61
1988	アラバマ	AL	その他	無所属	4428	0.32
1988	アラバマ	AL	その他		506	0.04
1988	アラスカ	AK	共和党	共和党	119251	59.59
1988	アラスカ	AK	民主党	民主党	72584	36.27
1988	アラスカ	AK	リバタリアン党	リバタリアン党	5484	2.74
1988	アラスカ	AK	その他	新連合党	1024	0.51
1988	アラスカ	AK	その他		957	0.48
1988	アラスカ	AK	その他	国民経済再建党	816	0.41
1988	アリゾナ	AZ	共和党	共和党	702541	59.95
1988	アリゾナ	AZ	民主党	民主党	454029	38.74
1988	アリゾナ	AZ	リバタリアン党	リバタリアン党	13351	1.14
1988	アリゾナ	AZ	その他	新連合党	1662	0.14
1988	アリゾナ	AZ	その他		290	0.02
1988	アーカンソー	AR	共和党	共和党	466578	56.37
1988	アーカンソー	AR	民主党	民主党	349237	42.19
1988	アーカンソー	AR	その他	ポピュリスト党	5146	0.62
1988	アーカンソー	AR	リバタリアン党	リバタリアン党	3297	0.40
1988	アーカンソー	AR	その他	新連合党	2161	0.26
1988	アーカンソー	AR	その他	禁酒党	1319	0.16
1988	カリフォルニア	CA	共和党	共和党	5054917	51.13
1988	カリフォルニア	CA	民主党	民主党	4702233	47.56
1988	カリフォルニア	CA	リバタリアン党	リバタリアン党	70105	0.71
1988	カリフォルニア	CA	その他	無所属	58999	0.60
1988	カリフォルニア	CA	その他		811	0.01
1988	コロラド	CO	共和党	共和党	728177	53.06
1988	コロラド	CO	民主党	民主党	621453	45.28
1988	コロラド	CO	リバタリアン党	リバタリアン党	15482	1.13
1988	コロラド	CO	その他	禁酒党	4604	0.34
1988	コロラド	CO	その他	新連合党	2539	0.19
1988	コロラド	CO	その他		139	0.01
1988	コネチカット	CT	共和党	共和党	750241	51.98
1988	コネチカット	CT	民主党	民主党	676584	46.87
1988	コネチカット	CT	リバタリアン党	リバタリアン党	14071	0.97
1988	コネチカット	CT	その他	新連合党	2491	0.17
1988	コネチカット	CT	その他		7	0.00
1988	デラウェア	DE	共和党	共和党	139639	55.88
1988	デラウェア	DE	民主党	民主党	108647	43.48
1988	デラウェア	DE	リバタリアン党	リバタリアン党	1162	0.47
1988	デラウェア	DE	その他	新連合党	443	0.18
1988	コロンビア特別区	DC	民主党	民主党	159407	82.65
1988	コロンビア特別区	DC	共和党	共和党	27590	14.30
1988	コロンビア特別区	DC	その他	無所属	3064	1.59
1988	コロンビア特別区	DC	その他		1553	0.81
1988	コロンビア特別区	DC	リバタリアン党	リバタリアン党	554	0.29
1988	コロンビア特別区	DC	その他	第三世界会議	236	0.12
1988	コロンビア特別区	DC	その他	労働者同盟	208	0.11
1988	コロンビア特別区	DC	その他	社会党	142	0.07
1988	コロンビア特別区	DC	その他	社会主義労働者党	123	0.06
1988	フロリダ	FL	共和党	共和党	2618885	60.87
1988	フロリダ	FL	民主党	民主党	1656701	38.51
1988	フロリダ	FL	リバタリアン党	リバタリアン党	19796	0.46
1988	フロリダ	FL	その他	新連合党	6655	0.15
1988	フロリダ	FL	その他		276	0.01
1988	ジョージア	GA	共和党	共和党	1081331	59.75
1988	ジョージア	GA	民主党	民主党	714792	39.50
1988	ジョージア	GA	リバタリアン党	リバタリアン党	8435	0.47
1988	ジョージア	GA	その他	新連合党	5099	0.28
1988	ジョージア	GA	その他		15	0.00
1988	ハワイ	HI	民主党	民主党	192364	54.27
1988	ハワイ	HI	共和党	共和党	158625	44.75
1988	ハワイ	HI	リバタリアン党	リバタリアン党	1999	0.56
1988	ハワイ	HI	その他	無所属	1003	0.28
1988	ハワイ	HI	その他	国民経済再建党	470	0.13
1988	アイダホ	ID	共和党	共和党	253881	62.08
1988	アイダホ	ID	民主党	民主党	147272	36.01
1988	アイダホ	ID	リバタリアン党	リバタリアン党	5313	1.30
1988	アイダホ	ID	その他	無所属	2502	0.61
1988	イリノイ	IL	共和党	共和党	2310939	50.69
1988	イリノイ	IL	民主党	民主党	2215940	48.60
1988	イリノイ	IL	リバタリアン党	リバタリアン党	14944	0.33
1988	イリノイ	IL	その他	連帯党	10276	0.23
1988	イリノイ	IL	その他	無所属	7021	0.15
1988	インディアナ	IN	共和党	共和党	1297763	59.84
1988	インディアナ	IN	民主党	民主党	860643	39.69
1988	インディアナ	IN	その他	新連合党	10215	0.47
1988	アイオワ	IA	民主党	民主党	670557	54.71
1988	アイオワ	IA	共和党	共和党	545355	44.50
1988	アイオワ	IA	その他	請願指名	3526	0.29
1988	アイオワ	IA	リバタリアン党	リバタリアン党	2494	0.20
1988	アイオワ	IA	その他		1613	0.13
1988	アイオワ	IA	その他	愛国党	755	0.06
1988	アイオワ	IA	その他	新連合党	540	0.04
1988	アイオワ	IA	その他	社会党	334	0.03
1988	アイオワ	IA	その他	労働者同盟	235	0.02
1988	アイオワ	IA	その他	社会主義労働者党	205	0.02
1988	カンザス	KS	共和党	共和党	554049	55.79
1988	カンザス	KS	民主党	民主党	422636	42.56
1988	カンザス	KS	その他	無所属	16359	1.65
1988	ケンタッキー	KY	共和党	共和党	734281	55.52
1988	ケンタッキー	KY	民主党	民主党	580368	43.88
1988	ケンタッキー	KY	その他	ポピュリスト党	4494	0.34
1988	ケンタッキー	KY	リバタリアン党	リバタリアン党	2118	0.16
1988	ケンタッキー	KY	その他	新連合党	1256	0.09
1988	ルイジアナ	LA	共和党	共和党	883702	54.27
1988	ルイジアナ	LA	民主党	民主党	717460	44.06
1988	ルイジアナ	LA	その他	ポピュリスト党	18612	1.14
1988	ルイジアナ	LA	リバタリアン党	リバタリアン党	4115	0.25
1988	ルイジアナ	LA	その他	新連合党	2355	0.14
1988	ルイジアナ	LA	その他	国民経済再建党	1958	0.12
1988	メイン	ME	共和党	共和党	307131	55.34
1988	メイン	ME	民主党	民主党	243569	43.88
1988	メイン	ME	リバタリアン党	リバタリアン党	2700	0.49
1988	メイン	ME	その他	新連合党	1405	0.25
1988	メイン	ME	その他	その他	230	0.04
1988	メリーランド	MD	共和党	共和党	876167	51.11
1988	メリーランド	MD	民主党	民主党	826304	48.20
1988	メリーランド	MD	リバタリアン党	リバタリアン党	6748	0.39
1988	メリーランド	MD	その他	新連合党	5115	0.30
1988	メリーランド	MD	その他		24	0.00
1988	マサチューセッツ	MA	民主党	民主党	1401415	53.23
1988	マサチューセッツ	MA	共和党	共和党	1194635	45.38
1988	マサチューセッツ	MA	リバタリアン党	リバタリアン党	24251	0.92
1988	マサチューセッツ	MA	その他	新連合党	9561	0.36
1988	マサチューセッツ	MA	その他	その他	2939	0.11
1988	ミシガン	MI	共和党	共和党	1965486	53.57
1988	ミシガン	MI	民主党	民主党	1675783	45.67
1988	ミシガン	MI	リバタリアン党	リバタリアン党	18336	0.50
1988	ミシガン	MI	その他	その他	7600	0.21
1988	ミシガン	MI	その他	労働者同盟	1958	0.05
1988	ミネソタ	MN	民主党	民主党	1109471	52.91
1988	ミネソタ	MN	共和党	共和党	962337	45.90
1988	ミネソタ	MN	その他	進歩党	5403	0.26
1988	ミネソタ	MN	リバタリアン党	リバタリアン党	5109	0.24
1988	ミネソタ	MN	その他		3614	0.17
1988	ミネソタ	MN	その他	社会主義労働者党	2155	0.10
1988	ミネソタ	MN	その他	草の根党	1949	0.09
1988	ミネソタ	MN	その他	新連合党	1734	0.08
1988	ミネソタ	MN	その他	国民経済再建党	1702	0.08
1988	ミネソタ	MN	その他	ポピュリスト党	1529	0.07
1988	ミネソタ	MN	その他	アメリカ党	1298	0.06
1988	ミネソタ	MN	その他	労働者同盟	489	0.02
1988	ミシシッピ	MS	共和党	共和党	557890	59.89
1988	ミシシッピ	MS	民主党	民主党	363921	39.07
1988	ミシシッピ	MS	その他	無所属	6387	0.69
1988	ミシシッピ	MS	リバタリアン党	リバタリアン党	3329	0.36
1988	ミズーリ	MO	共和党	共和党	1084953	51.83
1988	ミズーリ	MO	民主党	民主党	1001619	47.85
1988	ミズーリ	MO	その他	新連合党	6656	0.32
1988	モンタナ	MT	共和党	共和党	190412	52.07
1988	モンタナ	MT	民主党	民主党	168936	46.20
1988	モンタナ	MT	リバタリアン党	リバタリアン党	5047	1.38
1988	モンタナ	MT	その他	新連合党	1279	0.35
1988	ネブラスカ	NE	共和党	共和党	397956	60.16
1988	ネブラスカ	NE	民主党	民主党	259235	39.19
1988	ネブラスカ	NE	リバタリアン党	リバタリアン党	2534	0.38
1988	ネブラスカ	NE	その他	新連合党	1740	0.26
1988	ネバダ	NV	共和党	共和党	206040	60.05
1988	ネバダ	NV	民主党	民主党	132738	38.68
1988	ネバダ	NV	リバタリアン党	リバタリアン党	3520	1.03
1988	ネバダ	NV	その他	新連合党	835	0.24
1988	ニューハンプシャー	NH	共和党	共和党	281537	62.49
1988	ニューハンプシャー	NH	民主党	民主党	163696	36.33
1988	ニューハンプシャー	NH	リバタリアン党	リバタリアン党	4502	1.00
1988	ニューハンプシャー	NH	その他	新連合党	790	0.18
1988	ニュージャージー	NJ	共和党	共和党	1743192	56.24
1988	ニュージャージー	NJ	民主党	民主党	1320352	42.60
1988	ニュージャージー	NJ	その他	平和と自由党	9953	0.32
1988	ニュージャージー	NJ	リバタリアン党	リバタリアン党	8421	0.27
1988	ニュージャージー	NJ	その他	新連合党	5139	0.17
1988	ニュージャージー	NJ	その他	消費者党	3454	0.11
1988	ニュージャージー	NJ	その他	社会党	2587	0.08
1988	ニュージャージー	NJ	その他	ポピュリスト党	2446	0.08
1988	ニュージャージー	NJ	その他	社会主義労働者党	2298	0.07
1988	ニュージャージー	NJ	その他	労働者世界党	1020	0.03
1988	ニュージャージー	NJ	その他	労働者同盟	691	0.02
1988	ニューメキシコ	NM	共和党	共和党	270341	51.85
1988	ニューメキシコ	NM	民主党	民主党	244497	46.89
1988	ニューメキシコ	NM	リバタリアン党	リバタリアン党	3368	0.65
1988	ニューメキシコ	NM	その他	新連合党	2237	0.43
1988	ニューメキシコ	NM	その他	社会主義労働者党	344	0.07
1988	ニューメキシコ	NM	その他	労働者世界党	258	0.05
1988	ニューメキシコ	NM	その他	禁酒党	249	0.05
1988	ニューメキシコ	NM	その他	書き込み投票	93	0.02
1988	ニューヨーク	NY	民主党	民主党	3255487	50.19
1988	ニューヨーク	NY	共和党	共和党	2838414	43.76
1988	ニューヨーク	NY	その他	保守党	243457	3.75
1988	ニューヨーク	NY	その他	自由党（リベラル）	92395	1.42
1988	ニューヨーク	NY	その他	生命権党	20497	0.32
1988	ニューヨーク	NY	その他	新連合党	15845	0.24
1988	ニューヨーク	NY	リバタリアン党	リバタリアン党	12109	0.19
1988	ニューヨーク	NY	その他	労働者世界党	4179	0.06
1988	ニューヨーク	NY	その他	社会主義労働者党	3287	0.05
1988	ニューヨーク	NY	その他	その他	13	0.00
1988	ノースカロライナ	NC	共和党	共和党	1237258	57.97
1988	ノースカロライナ	NC	民主党	民主党	890167	41.71
1988	ノースカロライナ	NC	その他	新連合党	5682	0.27
1988	ノースカロライナ	NC	その他		1263	0.06
1988	ノースダコタ	ND	共和党	共和党	166559	56.03
1988	ノースダコタ	ND	民主党	民主党	127739	42.97
1988	ノースダコタ	ND	リバタリアン党	リバタリアン党	1315	0.44
1988	ノースダコタ	ND	その他	国民経済再建党	905	0.30
1988	ノースダコタ	ND	その他	新連合党	396	0.13
1988	ノースダコタ	ND	その他	社会主義労働者党	347	0.12
1988	オハイオ	OH	共和党	共和党	2416549	55.00
1988	オハイオ	OH	民主党	民主党	1939629	44.15
1988	オハイオ	OH	その他	新連合党	12017	0.27
1988	オハイオ	OH	リバタリアン党	リバタリアン党	11926	0.27
1988	オハイオ	OH	その他	無所属	7713	0.18
1988	オハイオ	OH	その他	労働者同盟	5401	0.12
1988	オハイオ	OH	その他		350	0.01
1988	オクラホマ	OK	共和党	共和党	678367	57.93
1988	オクラホマ	OK	民主党	民主党	483423	41.28
1988	オクラホマ	OK	リバタリアン党	リバタリアン党	6261	0.53
1988	オクラホマ	OK	その他	新連合党	2985	0.25
1988	オレゴン	OR	民主党	民主党	616206	51.28
1988	オレゴン	OR	共和党	共和党	560126	46.61
1988	オレゴン	OR	リバタリアン党	リバタリアン党	14811	1.23
1988	オレゴン	OR	その他	無所属	6487	0.54
1988	オレゴン	OR	その他	その他	4064	0.34
1988	ペンシルベニア	PA	共和党	共和党	2300087	50.70
1988	ペンシルベニア	PA	民主党	民主党	2194944	48.39
1988	ペンシルベニア	PA	その他	消費者党	19158	0.42
1988	ペンシルベニア	PA	リバタリアン党	リバタリアン党	12051	0.27
1988	ペンシルベニア	PA	その他	新連合党	4379	0.10
1988	ペンシルベニア	PA	その他	ポピュリスト党	3444	0.08
1988	ペンシルベニア	PA	その他	労働者同盟	2188	0.05
1988	ロードアイランド	RI	民主党	民主党	225123	55.64
1988	ロードアイランド	RI	共和党	共和党	177761	43.93
1988	ロードアイランド	RI	リバタリアン党	リバタリアン党	825	0.20
1988	ロードアイランド	RI	その他	新連合党	280	0.07
1988	ロードアイランド	RI	その他	平和と自由党	195	0.05
1988	ロードアイランド	RI	その他	ポピュリスト党	159	0.04
1988	ロードアイランド	RI	その他	社会主義労働者党	130	0.03
1988	ロードアイランド	RI	その他	社会党	96	0.02
1988	ロードアイランド	RI	その他		53	0.01
1988	サウスカロライナ	SC	共和党	共和党	606443	61.50
1988	サウスカロライナ	SC	民主党	民主党	370554	37.58
1988	サウスカロライナ	SC	リバタリアン党	リバタリアン党	4935	0.50
1988	サウスカロライナ	SC	その他	統一市民党	4077	0.41
1988	サウスダコタ	SD	共和党	共和党	165415	52.85
1988	サウスダコタ	SD	民主党	民主党	145560	46.51
1988	サウスダコタ	SD	その他	無所属	2016	0.64
1988	テネシー	TN	共和党	共和党	947233	57.89
1988	テネシー	TN	民主党	民主党	679794	41.55
1988	テネシー	TN	その他	無所属	8938	0.55
1988	テネシー	TN	その他		285	0.02
1988	テキサス	TX	共和党	共和党	3036829	55.95
1988	テキサス	TX	民主党	民主党	2352748	43.35
1988	テキサス	TX	リバタリアン党	リバタリアン党	30355	0.56
1988	テキサス	TX	その他	新連合党	7208	0.13
1988	テキサス	TX	その他		270	0.00
1988	ユタ	UT	共和党	共和党	428442	66.22
1988	ユタ	UT	民主党	民主党	207343	32.05
1988	ユタ	UT	リバタリアン党	リバタリアン党	7473	1.16
1988	ユタ	UT	その他	アメリカ党	2158	0.33
1988	ユタ	UT	その他	新連合党	455	0.07
1988	ユタ	UT	その他	国民経済再建党	427	0.07
1988	ユタ	UT	その他	無所属	372	0.06
1988	ユタ	UT	その他	社会主義労働者党	209	0.03
1988	ユタ	UT	その他	社会党	129	0.02
1988	バーモント	VT	共和党	共和党	124331	51.10
1988	バーモント	VT	民主党	民主党	115775	47.58
1988	バーモント	VT	その他		1134	0.47
1988	バーモント	VT	リバタリアン党	リバタリアン党	1000	0.41
1988	バーモント	VT	その他	無所属	275	0.11
1988	バーモント	VT	その他	新連合党	205	0.08
1988	バーモント	VT	その他	ポピュリスト党	189	0.08
1988	バーモント	VT	その他	平和と自由党	164	0.07
1988	バーモント	VT	その他	自由連合党	142	0.06
1988	バーモント	VT	その他	社会主義労働者党	113	0.05
1988	バージニア	VA	共和党	共和党	1309162	59.74
1988	バージニア	VA	民主党	民主党	859799	39.23
1988	バージニア	VA	その他	無所属	14312	0.65
1988	バージニア	VA	リバタリアン党	リバタリアン党	8336	0.38
1988	ワシントン	WA	民主党	民主党	933516	50.05
1988	ワシントン	WA	共和党	共和党	903835	48.46
1988	ワシントン	WA	リバタリアン党	リバタリアン党	17240	0.92
1988	ワシントン	WA	その他	無所属	4412	0.24
1988	ワシントン	WA	その他	新連合党	3520	0.19
1988	ワシントン	WA	その他	労働者世界党	1440	0.08
1988	ワシントン	WA	その他	社会主義労働者党	1290	0.07
1988	ウェストバージニア	WV	民主党	民主党	341016	52.20
1988	ウェストバージニア	WV	共和党	共和党	310065	47.46
1988	ウェストバージニア	WV	その他	新連合党	2230	0.34
1988	ウィスコンシン	WI	民主党	民主党	1126794	51.41
1988	ウィスコンシン	WI	共和党	共和党	1047499	47.80
1988	ウィスコンシン	WI	その他	無所属	15042	0.69
1988	ウィスコンシン	WI	その他		2273	0.10
1988	ワイオミング	WY	共和党	共和党	106867	60.53
1988	ワイオミング	WY	民主党	民主党	67113	38.01
1988	ワイオミング	WY	リバタリアン党	リバタリアン党	2026	1.15
1988	ワイオミング	WY	その他	新連合党	545	0.31
1992	アラバマ	AL	共和党	共和党	804283	47.65
1992	アラバマ	AL	民主党	民主党	690080	40.88
1992	アラバマ	AL	その他	無所属	183109	10.85
1992	アラバマ	AL	リバタリアン党	リバタリアン党	5737	0.34
1992	アラバマ	AL	その他	無所属	4128	0.24
1992	アラバマ	AL	その他		723	0.04
1992	アラスカ	AK	共和党	共和党	102000	39.46
1992	アラスカ	AK	民主党	民主党	78294	30.29
1992	アラスカ	AK	その他	無所属	73481	28.43
1992	アラスカ	AK	その他	アメリカ第一党	1379	0.53
1992	アラスカ	AK	リバタリアン党	リバタリアン党	1378	0.53
1992	アラスカ	AK	その他	経済再建無所属連合	469	0.18
1992	アラスカ	AK	その他	自然法党	433	0.17
1992	アラスカ	AK	その他	納税者党	377	0.15
1992	アラスカ	AK	その他		365	0.14
1992	アラスカ	AK	その他	新連合党	330	0.13
1992	アリゾナ	AZ	共和党	共和党	572086	38.47
1992	アリゾナ	AZ	民主党	民主党	543050	36.52
1992	アリゾナ	AZ	その他	無所属	353741	23.79
1992	アリゾナ	AZ	その他	無所属	8141	0.55
1992	アリゾナ	AZ	リバタリアン党	リバタリアン党	6759	0.45
1992	アリゾナ	AZ	その他	自然法党	2267	0.15
1992	アリゾナ	AZ	その他	新連合党	923	0.06
1992	アリゾナ	AZ	その他		8	0.00
1992	アーカンソー	AR	民主党	民主党	505823	53.21
1992	アーカンソー	AR	共和党	共和党	337324	35.48
1992	アーカンソー	AR	その他	無所属	99132	10.43
1992	アーカンソー	AR	その他	無所属	8374	0.88
1992	カリフォルニア	CA	民主党	民主党	5121325	46.01
1992	カリフォルニア	CA	共和党	共和党	3630574	32.61
1992	カリフォルニア	CA	その他	無所属	2296006	20.63
1992	カリフォルニア	CA	リバタリアン党	リバタリアン党	48139	0.43
1992	カリフォルニア	CA	その他	平和と自由党	18597	0.17
1992	カリフォルニア	CA	その他	アメリカ独立党	12711	0.11
1992	カリフォルニア	CA	その他		4369	0.04
1992	コロラド	CO	民主党	民主党	629681	40.13
1992	コロラド	CO	共和党	共和党	562850	35.87
1992	コロラド	CO	その他	無所属	366010	23.32
1992	コロラド	CO	リバタリアン党	リバタリアン党	8669	0.55
1992	コロラド	CO	その他	新連合党	1608	0.10
1992	コロラド	CO	その他	民主党/共和党	274	0.02
1992	コロラド	CO	その他	自然法党	47	0.00
1992	コロラド	CO	その他	禁酒党	21	0.00
1992	コロラド	CO	その他	無所属	20	0.00
1992	コネチカット	CT	民主党	民主党	682318	42.22
1992	コネチカット	CT	共和党	共和党	578313	35.78
1992	コネチカット	CT	その他	無所属	348771	21.58
1992	コネチカット	CT	リバタリアン党	リバタリアン党	5391	0.33
1992	コネチカット	CT	その他	新連合党	1363	0.08
1992	デラウェア	DE	民主党	民主党	126054	43.52
1992	デラウェア	DE	共和党	共和党	102313	35.33
